問題（もんだい）,選択肢（せんたくし）1,選択肢（せんたくし）2,選択肢（せんたくし）3,選択肢（せんたくし）4,正答（せいとう）
むせないように、お茶（ちゃ）に<u>とろみ</u>をつけます。,1.甘（あま）い味（あじ）,2.飲（の）みやすくするための、ねばりけ,3.冷（つめ）たい氷（こおり）,4.良（い）い香（かお）り,2
食事（しょくじ）のときは、<u>エプロン</u>をつけます。,1.服（ふく）が汚（よご）れないように着（き）るもの,2.手（て）を拭（ふ）くための布（ぬの）,3.食（た）べ物（もの）を切（き）る道具（どうぐ）,4.歯（は）を磨（みが）く道具（どうぐ）,1
<u>嚥下（えんげ）</u>の力（ちから）が弱（よわ）くなっています。,1.匂（にお）いをかぐこと,2.息（いき）をすること,3.飲（の）み込（こ）むこと,4.噛（か）むこと,3
田中（たなか）さんは<u>きざみ食（しょく）</u>を食（た）べています。,1.水（みず）のように軟（やわ）らかい食事（しょくじ）,2.小（ちい）さく切（き）った食事（しょくじ）,3.ペースト状（じょう）の食事（しょくじ）,4.固（かた）い食事（しょくじ）,2
食事（しょくじ）の姿勢（しせい）を<u>調整（ちょうせい）</u>します。,1.正（ただ）しく整（ととの）えること,2.記録（きろく）すること,3.報告（ほうこく）すること,4.観察（かんさつ）すること,1
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「山田（やまだ）さん、今日（きょう）の魚（さかな）は骨（ほね）を取（と）ってありますよ。」山田（やまだ）さん：「それは食（た）べやすくて助（たす）かるわ。ありがとう。」介護職（かいごしょく）：「熱（あつ）いので、気（き）をつけて食（た）べてくださいね。」,1.山田（やまだ）さんは、自分（じぶん）で魚（さかな）の骨（ほね）を取（と）ります。,2.魚（さかな）は冷（つめ）たいです。,3.介護職（かいごしょく）は、魚（さかな）の骨（ほね）を取（と）りました。,4.山田（やまだ）さんは、魚（さかな）が嫌（きら）いです。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「佐藤（さとう）さん、お茶（ちゃ）を飲（の）みましょうか。」佐藤（さとう）さん：「うん、少（すこ）し喉（のど）が渇（かわ）いたよ。」介護職（かいごしょく）：「むせないように、ゆっくり飲（の）んでくださいね。」佐藤（さとう）さん：「わかったよ。」,1.佐藤（さとう）さんは、お腹（なか）が空（す）いています。,2.介護職（かいごしょく）は、急（いそ）いでお茶（ちゃ）を飲（の）むように言（い）いました。,3.佐藤（さとう）さんは、お茶（ちゃ）を飲（の）みます。,4.介護職（かいごしょく）は、お茶（ちゃ）をこぼしました。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「鈴木（すずき）さん、お口（くち）の中（なか）に食（た）べ物（もの）が残（のこ）っていませんか。」鈴木（すずき）さん：「もう何（なに）もないよ。ごちそうさま。」介護職（かいごしょく）：「では、うがいをしましょう。」,1.鈴木（すずき）さんは、まだ食事（しょくじ）を続（つづ）けます。,2.鈴木（すずき）さんの口（くち）の中（なか）には食（た）べ物（もの）があります。,3.鈴木（すずき）さんは、食事（しょくじ）のあとにうがいをします。,4.介護職（かいごしょく）は、鈴木（すずき）さんに歯（は）を磨（みが）くように言（い）いました。,3
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。介護職（かいごしょく）：「田中（たなか）さん、ご飯（はん）の量（りょう）は足（た）りましたか。」田中（たなか）さん：「今日（きょう）はお腹（なか）がいっぱいだから、少（すこ）し残（のこ）してしまったよ。」介護職（かいごしょく）：「わかりました。無理（むり）しないでくださいね。」,1.田中（たなか）さんは、ご飯（はん）を全部（ぜんぶ）食（た）べました。,2.田中（たなか）さんは、ご飯（はん）を少（すこ）し残（のこ）しました。,3.田中（たなか）さんは、もっとご飯（はん）を食（た）べたいです。,4.介護職（かいごしょく）は、全部（ぜんぶ）食（た）べるように言（い）いました。,2
会話（かいわ）の内容（ないよう）で正（ただ）しいものを選（えら）んでください。山田（やまだ）さん：「右手（みぎて）が痛（いた）くて、お箸（はし）が持（も）ちにくいんだ。」介護職（かいごしょく）：「そうですか。では、今日（きょう）はスプーンを使（つか）いますか。」山田（やまだ）さん：「そうしてもらえると助（たす）かるよ。」,1.山田（やまだ）さんは、右手（みぎて）でお箸（はし）を使（つか）って食（た）べます。,2.山田（やまだ）さんは、左手（ひだりて）が痛（いた）いです。,3.山田（やまだ）さんは、スプーンを使（つか）って食事（しょくじ）をします。,4.介護職（かいごしょく）は、山田（やまだ）さんの食事（しょくじ）を手伝（てつだ）いません。,3
